a little	một chút
a-frame (construction)	khung chữ a (kết cấu)
abandon	bỏ, từ bỏ
abandoned	bị bỏ rơi, bị ruồng bỏ
ability	khả năng, năng lực
able	có năng lực, có tài
about	khoảng, về
above	ở trên, lên trên
abraham’s cones	khuôn hình chóp cụt để đo độ sụt bê tông
abroad	ở, ra nước ngoài, ngoài trời
absence	sự vắng mặt
absent	vắng mặt, nghỉ
absolute	tuyệt đối, hoàn toàn
absolutely	tuyệt đối, hoàn toàn
absorb	thu hút, hấp thu, lôi cuốn
absorption test	sự thử lực hấp thu 
abuse	lộng hành, lạm dụng
abutment	tường chống, chân vòm; mố cầu
academic	thuộc học viện, đh, viện hàn lâm
acceberated weathering	sự phong hóa tăng nhanh
accelerated load test	sự thử chịu tải gia tăng 
accelerated test	sự thử gia tăng
acceleration 	đẩy nhanh tiến độ
acceleration test	sự thử nghiệm gia tốc 
accelerator, earlystrength admixture	phụ gia tăng nhanh hóa cứng bê tông
accent	trọng âm, dấu trọng âm
accept	chấp nhận, chấp thuận
acceptable	có thể chấp nhận, chấp thuận
acceptance test	sự thử nghiệm thu 
access	lối, cửa, đường vào
accident	tai nạn, rủi ro
accidental	tình cờ, bất ngờ
accidentally	tình cờ, ngẫu nhiên
accommodation	sự thích nghi, điều tiết
accompany	đi theo, đi cùng, kèm theo
according to	theo, y theo
account	tài khoản, kế toán; tính toán, tính đến
accurate	đúng đắn, chính xác, xác đáng
accurately	đúng đắn, chính xác
accuse	tố cáo, buộc tội, kết tội
acess to the site 	ra vào công trường
achieve	đạt được, dành được
achievement	thành tích, thành tựu
acid	axit
acid-resisting concrete 	bê tông chịu axit 
acknowledge	công nhận, thừa nhận
acquire	dành được, đạt được, kiếm được
across	qua, ngang qua
act	hành động, hành vi, cử chỉ, đối xử
action	hành động, hành vi, tác động
action	tác động, tác dụng; sự hoạt động
action effect	hiệu quả hoạt động
active	tích cực hoạt động, nhanh nhẹn
activity schedule 	biểu khối lượng công việc
actor	diễn viên
actress	diễn viên
actual	thực tế, có thật
actual load 	tải trọng thực, tải trọng có ích 
actual test	sự thử nghiệm khai thác, sự thử nghiệm thực 
actually	hiện nay, hiện tại
adapt	tra, lắp vào
add	cộng, thêm vào
addition	tính cộng, phép cộng
additional	thêm vào, tăng thêm
additional load 	tải trọng phụ thêm, tải trọng tăng thêm 
additive test	sự xác định hàm lượng chất phụ gia 
address	địa chỉ, đề địa chỉ
adequate	đầy, đầy đủ
adequately	tương xứng, thỏa đáng
adhesion test	sự thử lực bám 
adjust	sửa lại cho đúng, điều chỉnh
adjustable prop	[cột, thanh chống] điều chỉnh được
admiration	sự khâm phục,người kp, thán phục
admire	khâm phục, thán phục
admit	nhận vào, cho vào, kết hợp
adopt	nhận làm con nuôi, bố mẹ nuôi
adult	người lớn, người trưởng thành; trưởng thành
advance	sự tiến bộ, tiến lên; đưa lên, đề xuất
advance payment 	tạm ứng
advanced	tiên tiến, tiến bộ, cấp cao
advantage	sự thuận lợi, lợi ích, lợi thế
adventure	sự phiêu lưu, mạo hiểm
advertise	báo cho biết, báo cho biết trước
advertisement	quảng cáo
advertising	sự quảng cáo, nghề quảng cáo
advice	lời khuyên, lời chỉ bảo
advise	khuyên, khuyên bảo, răn bảo
aerated concrete 	bê tông xốp/ tổ ong 
affair	việc
affect	làm ảnh hưởng, tác động đến
afford	có thể, có đủ khả năng, điều kiện
afraid	sợ, sợ hãi, hoảng sợ
after	sau, đằng sau, sau khi
after anchoring	sau khi neo xong cốt thép dự ứng lực
afternoon	buổi chiều
afterwards	sau này, về sau, rồi thì, sau đấy
again	lại, nữa, lần nữa
against	chống lại, phản đối
age	tuổi
aged	già đi
ageing test	sự thử lão hóa 
agency	tác dụng, lực; môi giới, trung gian
agent	đại lý, tác nhân
agglomerate-foam conc. 	bê tông bọt thiêu kết/bọt kết tụ
aggressive	xâm lược, hung hăng
ago	trước đây
agree	đồng ý, tán thành
agreement	sự đồng ý, tán thành; hiệp định, hợp đồng
ahead	trước, về phía trước
